"ID";"指示符";"封装";"数量";"名称";"供应商和参考";
1;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
2;"J1";"USB_C_Receptacle_G-Switch_GT-USB-7010ASV";1;"USB_C_Receptacle_USB2.0";;;
3;"J2";"JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal";1;"SWD";;;
4;"R3,R4,R2,R5,R1";"R_0603_1608Metric";5;"10kΩ";;;
5;"D3,D4,D2,D8,D6,D1,D5,D7";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";8;"WS2812B";;;
6;"C5,C4,C3,C8,C1,C6,C2,C7,C9,C12,C13,C10";"C_0603_1608Metric";12;"100nf";;;
7;"R7";"R_0603_1608Metric";1;"1kΩ";;;
8;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
9;"SW2";"SW_Push_1P1T_NO_Vertical_Wuerth_434133025816";1;"WKUP";;;
10;"C11";"C_0603_1608Metric";1;"4.7uf";;;
11;"R6";"R_0603_1608Metric";1;"4.7kΩ";;;
12;"SW3";"SW_Tactile_SPST_Angled_PTS645Vx39-2LFS";1;"SW_Push_Dual";;;
13;"SW1";"SW_Push_1P1T_NO_Vertical_Wuerth_434133025816";1;"RESET";;;
